word,explanation
notion,"KK[ˋnoʃən]
DJ[ˋnəuʃən]
名詞複數：notions
n.[C]
可數名詞
概念；想法；見解[（+of）][+that][+wh-]
I haven't the faintest notion what they mean. 我一點也不知道他們是什麼意思。
I have no notion of what it means. 我不知道這意味著什麼。
打算，意圖[（+of）][+to-v]
He has no notion of risking his money. 他不打算拿他的錢去冒險。
一時興起的念頭
Eventually I put the map away, but the notion of going to Alaska lingered on. 我終於放下了地圖，但是到阿拉斯加去的念頭卻揮之不去。
（針、線、鈕扣等）小日用品[P]
A dime store sells notions. 廉價商店出售日用小商品。
n. 想法；主意；打算
notion的名詞複數
不知道; 不明白
I have no notion of what you're talking about. 我不明白你在說些什麼。
不知道；不明白
I have no notion of what you're talking about. 我不明白你在說些什麼。
不知道；不明白
I have no notion of what you're talking about. 我不明白你在說些什麼。
IPA[ˈnəʊʃn]
觀念; 概念; 念頭
to have the or a notion that ...  認為…
to have the notion of doing sth. or to do sth.  想要做某事
針頭線腦
概念,觀念,想法,打算,主張
PyDict"
shelling,"KK[ˋʃɛlɪŋ]
DJ[ˋʃeliŋ]
殼，果殼；莢[C][U]
Peanuts have shells. 花生有殼。
剝……的殼；剝
She is shelling peas. 她在剝豌豆。
（種子等）脫殼
去殼的；去皮的
shell的名詞複數
蛋殼
炮擊
貝殼,殼,外形,炮彈去殼,脫落,炮轟剝落
PyDict
帶殼巴豆
PyDict
付款
I was the one who had to shell out for the food. 我就是必須給這食物付錢的人。
We agreed to share the cost but later he wouldn't shell out. 我們原先同意均攤費用, 但後來他卻不肯付錢。
IPA[ˈʃelɪŋ]
炮擊
去皮
PyDict"
standpoint,"KK[ˋstænd͵pɔɪnt]
DJ[ˋstændpɔint]
名詞複數：standpoints
n.
名詞
立場，觀點，看法[C]
We should look at this from a historical standpoint. 我們應從歷史的觀點看待這事。
This is an unprofitable discussion. Our standpoints are too different. 這是一種無益的討論。我們的立場太不一樣了。
standpoint的名詞複數
立場,觀點
PyDict"
binary,"KK[ˋbaɪnərɪ]
DJ[ˋbainəri]
名詞複數：binaries
adj.
形容詞
二元的；二進位的；由二部分構成的
n.
名詞
一雙，一對；雙體
二進位數
雙子星
binary的名詞複數
【電腦】二進位碼
二進位制，二進位系統
【電腦】（二進）位元，二進位數字（略作：bit）
【電腦】二進位資料格式檔
【天】雙星；聯星
= BINHEX【電腦】提供二進位資料格式檔轉換成ASCII檔的功能，早期是使用於APPLE MACINTOSH系統中
IPA[ˈbaɪnəri]
由兩部分組成的
二進位的,二元的
PyDict"
pertinent,"KK[ˋpɝtnənt]
DJ[ˋpə:tinənt]
a.[(
a.[(
恰當的，貼切的；中肯的
It might be pertinent for you to make the suggestion to the president. 你向總裁提這個建議可能比較恰當。
【書】有關的，相干的
The lawyer wanted to know all the details pertinent to the case. 律師想知道與該案有關的全部細節。
He raised several pertinent questions. 他提了幾個有關的問題。
「a. 適當的；貼切的」的反義字
關於,與…有關
PyDict
IPA[ˈpɜːtɪnənt]
有關的
to be pertinent to sth. 與某事物有關
相關的,有關的,中肯的,貼切的
PyDict"
hey,"KK[he]
DJ[hei]
int.
感嘆詞
（表示驚訝、疑問、喜悅或用以喚起注意等）嗨；喂
Hey! Where are you going? 喂！你去哪兒？
魔術師將戲法變成功時的用語或人們用以評論或表達某事完成得出奇地容易或迅速
I just turned the piece of wire in the lock and hey presto, the door opened. 我把金屬絲伸到鎖孔裡一擰, 嘿, 那門就開了。
（表示感到突然或出乎意外）嘿！神了！
（表示感到突然或出乎意外）嘿！神了！
變
press the start button and, hey presto, a copy comes out the other end 按下開始鍵，嘿，一份複印件就從另一端出來了
IPA[heɪ]
嗨
hey you! 喂！我說你哪！"
hopefully,"KK[ˋhopfəlɪ]
DJ[ˋhəupfəli]
adv.
副詞
懷希望地；抱希望地
He smiled hopefully in their direction. 他朝著他們的方向滿懷希望地微笑著。
（多用來修飾全句）但願
Hopefully we will be there by six. 但願我們能在六點之前趕到那兒。
IPA[ˈhəʊpfəli]
抱有希望地
抱有希望地
PyDict"
defuse,"KK[diˋfjuz]
DJ[di:ˋfju:z]
過去式：defused   過去分詞：defused   現在分詞：defusing
vt.
及物動詞
拆去……的雷管；拆除（炸彈的）引信
The police summoned a bomb squad to defuse the bomb. 警方召來炸彈小組來拆除炸彈的引信。
使除去危險性；緩和
defuse的動詞過去式、過去分詞
IPA[ˌdiːˈfjuːz]
拆除…的引信
去掉…的雷管
PyDict"
subscription,"KK[səbˋskrɪpʃən]
DJ[səbˋskripʃən]
名詞複數：subscriptions
n.
名詞
捐款，認捐[U][（+to）]
his subscription to a fund 他對一項基金的捐款
同意，贊成[C]
署名[c]
預訂；訂閱[U][C][（+to）]
My subscription to the magazine will soon expire, I will renew it. 我訂閱的雜誌快到期了，我將續訂。
認捐額；訂閱費；（俱樂部等的）會費[C]
n. 支付額，價格，津貼，捐款，禮物
n. 附錄，收場白，簽名
n. 批准，贊成，同意，信任
subscription的名詞複數
聯票音樂會（指預售聯票本的系列音樂會中的一場）
聯票音樂會（指預售聯票本的系列音樂會中的一場）
預訂版雜誌
聯票音樂會
預訂服務
【經】公開認購（發行公司或由其他代理人向公眾發售新的證券）
【經】公開認購（發行公司或由其他代理人向公眾發售新的證券）
IPA[səbˈskrɪpʃn]
訂購
a subscription to sth.  訂購某物
on or by subscription 通過訂購"
tack,"KK[tæk]
DJ[tæk]
名詞複數：tacks
過去式：tacked   過去分詞：tacked   現在分詞：tacking
n.
名詞
平頭釘，大頭釘；圖釘[C]
Joe hammered a tack into the wall to hang a picture. 喬用錘子把一只大頭釘敲進牆中用來掛一幅畫。
粗縫針腳；假縫[C]
【船】（帆的）上下腳；上下角索[C]
【海】（帆船的）航向[C]
行動步驟，方針[U][C]
If you can't persuade him, try a new tack. 如果你不能勸服他，那就試試新的方法吧。
黏性，黏著力[U]
vt.
及物動詞
用平頭釘釘[（+down）]
We tacked some posters on the wall. 我們把一些海報釘在牆上。
暫時用粗針腳縫
附加，增補[（+to/on/onto）]
They've tacked a couple of new clauses on to the end of the contract. 他們在合同的末尾加了兩條新的條款。
使（船）搶風轉變航向
vi.
不及物動詞
搶風轉變航向
The sailing ship was tacking. 帆船一路換搶航行。
改弦易轍，改變方針
vt. 鉤住；附加
tack的動詞現在分詞、動名詞
tack的動詞過去式、過去分詞
tack的名詞複數
粗縫針腳; 粗縫針線
緊釘
PyDict
加上; 附添
She tacked on a ribbon to the hat. 她在帽上加了一條緞帶。
a cover charge tacked on the bill 帳單上的服務費
IPA[tæk]
平頭釘
a carpet tack 地毯釘
用平頭釘釘
to tack sth. to sth.  用平頭釘將某物釘在某物上
to tack sth. down 用平頭釘將某物固定
作之字形移動; 搶風航行
to tack to port/starboard 在左／右舷搶風行駛
to tack about  搶風航行
馬具
大頭釘,粗縫,行動方針,食物以大頭針釘住,附加,跟隨
PyDict"
