word,explanation
macro,"KK[ˋmækro]
DJ[ˋmækrəu]
adj.
形容詞
巨大的；大量的
宏觀的；不用放大鏡就可看到的
n.
名詞
【電腦】巨集指令
（同類中之）大者
表示大的；長的
巨大的; 宏觀的
macro-molecules 大分子
macro-sociology 宏觀社會學
巨集,巨集指令,巨集定義
PyDict
宏觀經濟；總體經濟
宏觀經濟；總體經濟
總體經濟學
PyDict
宏操作符
PyDict
IPA[ˈmækrəʊ]
宏指令
巨集,巨集功能
PyDict"
gonna,"KK[ˋgɔnə]
DJ[ˋgɔ:nə]
IPA[ˈgɒnə]
= going to
aux.快要
PyDict"
rip,"KK[rɪp]
DJ[rip]
過去式：ripped   過去分詞：ripped   現在分詞：ripping
名詞複數：rips
vt.
及物動詞
撕，扯，剝
She ripped the letter open. 她撕開信封。
劃破
She ripped her skirt on a nail. 她的裙子被釘子劃破了。
劈，鋸；鑿開
拆（衣，屋頂等）
The tailor ripped the hem and shortened the dress. 裁縫拆開下擺將連衫裙收短。
【口】狠狠地發出（詛咒等）[（+out）]
He ripped out an angry oath. 他憤怒地咒罵了一句。
vi.
不及物動詞
被撕破；裂開
Her blouse ripped. 她的短上衣撕裂了。
【口】猛衝，飛速行進
The car ripped along the highway. 汽車沿公路疾馳。
【口】氣憤地說粗話[（+out）]
He ripped and swore. 他破口咒罵。
n.
名詞
裂口；裂縫；破洞[C]
She sewed up the rip in his sleeve. 她縫好了他衣袖上的裂口。
vt. 扯裂；剝掉
撕的；劈的；拆的
【英】【俚】極好地；絕妙地；非常
rip的動詞過去式、過去分詞
KK[rɪp]
DJ[rip]
生活放蕩的人；浪子[C]
KK[rɪp]
DJ[rip]
巨瀾；（暗礁上的）激浪，回流[C]
= Rest in Peace（墓碑用語）安息吧
IPA[rɪp]
撕破; 將某人／某物炸成碎片; 將…批得體無完膚
to rip sth. with one's teeth/a knife 用牙撕開／用刀割開某物
to rip sb./sth. in two 將某人／某物撕成兩半
被撕破
to let rip 為所欲為
let it or her rip! 讓車全速前進吧！
裂口
a rip in sth. 某物上的裂口
裂流
= rest in peace
裂痕,破綻,拉裂,不中用的東西,浪子,巨浪拉開,劃開,猛沖撕,扯,劈
PyDict"
fruition,"KK[fruˋɪʃən]
DJ[fru:ˋiʃən]
n.
名詞
結果實
成就；實現
享受
實現,完成,使圓滿
PyDict
IPA[fruːˈɪʃn]
實現; 完成
to come to fruition  完成
to bring sth. to fruition  使某事實現
結果,成就,實現,完成
PyDict"
depressing,"使沮喪，使消沉，使心灰意冷
Rainy weather always depresses me. 雨天總會使我心情抑鬱。
沮喪的，消沉的，憂鬱的
She was depressed to learn of her illness. 她得知自己患病，心情十分抑鬱。
使沮喪
沮喪的
降低的,壓低的
PyDict
使沮喪,使消沈
PyDict
貧困地區
IPA[dɪˈpresɪŋ]
令人沮喪的
抑壓的,沈悶的,陰沈的
PyDict"
acquisition,"KK[͵ækwəˋzɪʃən]
DJ[͵ækwiˋziʃən]
名詞複數：acquisitions
n.
名詞
獲得，取得[U]
He devotes his time to the acquisition of knowledge. 他把時間用在獲取知識上。
獲得物；增添的人（或物）[C]
This dress is Amy's new acquisition. 這衣服是艾咪新添置的。
n. 獲得，抓取，捐贈
acquisition的名詞複數
徵用令
強制性徵用
第一次定位時間
強制性徵用
徵用令
第一次定位時間
語言習得,掌握語言
PyDict
IPA[ˌækwɪˈzɪʃn]
獲得
he was dedicated to the acquisition of wealth 他一心想發財"
uncertainty,"KK[ʌnˋsɝtntɪ]
DJ[ʌnˋsə:tnti]
名詞複數：uncertainties
n.
名詞
不確定；不確信；易變；不可靠[U]
realize the uncertainty of life 意識到人生變幻無常
John was depressed by the uncertainty of his position and duty. 不確定的職位和職能使約翰感到沮喪。
不確定的事物；難以預料的事物[C][P1]
Do what you can and don't worry about uncertainties. 盡力做你所能做的事情，不要為難以預料的事物而煩惱。
uncertainty的名詞複數
測不準原理
IPA[ʌnˈsɜːtnti]
不確定"
willingly,"KK[ˋwɪlɪŋlɪ]
DJ[ˋwiliŋli]
IPA[ˈwɪlɪŋli]
自願地
to go willingly to one's death 義無反顧地獻出生命
自動地,欣然地
PyDict"
rubbish,"KK[ˋrʌbɪʃ]
DJ[ˋrʌbiʃ]
n.[U]
不可數名詞
垃圾；廢物
Our job is to clear away the rubbish. 我們的工作是清除這些垃圾。
廢話；無聊的想法
The book is all rubbish. 這本書全是胡扯。
vt.
及物動詞
抨擊；貶低
Teachers in schools have been rubbished for the last ten years. 過去十年學校教師一直受抨擊。
n. 垃圾；廢物
n. 廢話；無聊的想法
垃圾箱，垃圾桶
垃圾滑槽
As a rule, condominiums are equipped with rubbish chutes to keep the tenants from running up and down. 一般來說，有獨立產權的公寓都配有垃圾滑槽，以免讓居民上下奔跑。
太空垃圾（指工作壽命結束失去功能的人造衛星和太空船、突然爆炸的人造天體產生的碎片等以及太空人遺 ...
垃圾箱，垃圾桶
垃圾滑槽
As a rule, condominiums are equipped with rubbish chutes to keep the tenants from running up and down. 一般來說，有獨立產權的公寓都配有垃圾滑槽，以免讓居民上下奔跑。
太空垃圾（指工作壽命結束失去功能的人造衛星和太空船、突然爆炸的人造天體產生的碎片等以及太空人遺 ...
垃圾收集
IPA[ˈrʌbɪʃ]
垃圾
狠批
糟透的
U垃圾,廢物
PyDict"
motives,"動機；主旨；目的[（+of/for）]
His sole motive was to make her happy. 他唯一的目的就是使她幸福。
I believe that Martin had two motives. 我相信馬丁有著雙重動機。
成為原動力的，起動的，推動的
The water provides the motive power that turns the mill wheel. 水提供了轉動輪子的動力。
For many years the motive power of trains was steam. 好多年，火車的動力是蒸汽。
使產生動機，激起
motive的動詞過去式、過去分詞
motive的動詞現在分詞、動名詞
動機
to have ulterior motives 別有意圖
sb.'s motive in doing sth. 某人做某事的動機
引起運動的
motive force or power 原動力
不可告人的動機
PyDict
過失殺人,誤傷某人
PyDict"
